t	XA	XB	YA	YB	XC	YC	x_bary	y_bary	ExcB	ExcC	rapport_axes
21.880000000000003	-0.006180106479765919	4.8569762708983975	0.000623711370033524	-0.9576131972393869	-5.286934089847169	3.1223918471341876	9.006563724169138e-08	-1.4472893820794806e-07	0.010721807987098982	0.07525857477841773	1.264126094795498
21.89	-0.006184954076952055	4.862629689286901	0.0005859404847983518	-0.9299083569141611	-5.301293940591521	3.1010433575599774	9.010769891371598e-08	-1.4459752581886516e-07	0.010722220802091193	0.07526681383745874	1.2641359685525808
21.900000000000002	-0.006189577625415859	4.868125288349744	0.0005481369769662672	-0.9021733534494963	-5.3155632617376085	3.0796418692986296	9.015209280641024e-08	-1.4447305240180168e-07	0.010722634474442631	0.07527504453180535	1.2641458775875185
21.91	-0.00619397693346093	4.873462915526825	0.0005103021637899341	-0.874409091839691	-5.329741878973305	3.0581877879627064	9.019875077431201e-08	-1.4435548269146526e-07	0.010723048982394316	0.0752832665092902	1.264155821853793
21.92	-0.0061981518171529216	4.878642423512085	0.0004724373634769015	-0.846616477747429	-5.343829619942232	3.0366815195237544	9.024760387352747e-08	-1.442447823644922e-07	0.010723464304708085	0.07529147941809665	1.2641658013047221
21.93	-0.006202102100322511	4.883663670255069	0.00043454389514311324	-0.8187964174725763	-5.357826314241974	3.0151234703020404	9.029858245523138e-08	-1.4414091805871014e-07	0.010723880420573352	0.07529968290675663	1.2641758158934893
21.94	-0.006205827614568166	4.888526518962329	0.00039662307876643546	-0.7909498179210005	-5.371731793422179	2.9935140469563275	9.035161617259307e-08	-1.4404385738136274e-07	0.010724297309565612	0.07530787662415601	1.2641858655731142
21.95	-0.0062093281992585455	4.893230838098629	0.00035867623514020016	-0.7630775865734015	-5.385545890982675	2.971853656473689	9.040663398532148e-08	-1.4395356892848058e-07	0.010724714951760264	0.07531606021956995	1.2641959502964955
21.96	-0.006212603701534634	4.897776501387941	0.00032070468582676853	-0.7351806314541611	-5.39926844237145	2.9501427061593506	9.046356420035524e-08	-1.4387002229029217e-07	0.010725133327722179	0.07532423334266085	1.264206070016368
21.970000000000002	-0.0062156539763116025	4.902163387814269	0.00028270975311111364	-0.7072598611002181	-5.412899284982619	2.928381603626602	9.052233449978277e-08	-1.437931880631278e-07	0.010725552418422796	0.07533239564349899	1.2642162246853401
21.98	-0.006218478886280378	4.906391381622281	0.0002446927599544287	-0.6793161845299591	-5.4264382581543895	2.9065707567867185	9.058287195382848e-08	-1.4372303785894278e-07	0.010725972205395331	0.0753405467725677	1.2642264142558681
21.990000000000002	-0.006221078301908906	4.910460372317725	0.00020665502994775785	-0.6513505112121426	-5.43988520316685	2.884710573838949	9.064510304552645e-08	-1.4365954431397488e-07	0.010726392670517315	0.07534868638079067	1.2642366386802781
22.0	-0.006223452101443154	4.914370254667708	0.00016859788726565403	-0.6233637510348331	-5.45323996323981	2.8628014632605283	9.070895369539413e-08	-1.4360268110627558e-07	0.01072681379623306	0.07535681411952817	1.2642468979107475
22.01	-0.006225600170907837	4.918120928700725	0.00013052265661986674	-0.5953568142743694	-5.466502383530543	2.840843833796732	9.077434931705625e-08	-1.4355242295733343e-07	0.010727235565543218	0.07536492964060211	1.2642571918993228
